R,T
0.000000,-0.714286
0.006501,-0.714148
0.013056,-0.713731
0.019723,-0.713023
0.026561,-0.712003
0.033640,-0.710641
0.041034,-0.708896
0.048836,-0.706708
0.057153,-0.704003
0.066121,-0.700676
0.075911,-0.696591
0.086744,-0.691559
0.098914,-0.685323
0.112824,-0.677521
0.129034,-0.667636
0.148350,-0.654913
0.171963,-0.638217
0.201673,-0.615814
0.240230,-0.585035
0.291725,-0.541885
0.361451,-0.481182
0.453214,-0.399267
0.561813,-0.301518
0.669445,-0.205968
0.759779,-0.129243
0.829669,-0.074880
0.883714,-0.038808
0.927407,-0.016259
0.965077,-0.003924
1.000000,0.000000
