R,T
0.000000,-0.250000
0.029451,-0.249436
0.059014,-0.247744
0.088798,-0.244919
0.118910,-0.240959
0.149452,-0.235858
0.180519,-0.229616
0.212195,-0.222238
0.244552,-0.213741
0.277642,-0.204152
0.311497,-0.193522
0.346124,-0.181922
0.381497,-0.169453
0.417562,-0.156246
0.454232,-0.142463
0.491394,-0.128293
0.528910,-0.113950
0.566630,-0.099661
0.604400,-0.085660
0.642075,-0.072176
0.679527,-0.059420
0.716654,-0.047584
0.753386,-0.036831
0.789686,-0.027296
0.825550,-0.019085
0.861002,-0.012277
0.896093,-0.006932
0.930897,-0.003089
0.965500,-0.000773
1.000000,0.000000
